,track_uri,artist_name,artist_id,artist_popularity,artist_genres,song_title,album
21,spotify:track:2OHQhOiGIYaXqqJVIMpNrF,Alborosie,78u1jLVBjPSXQVmHBV43yG,54,"['reggae', 'roots reggae']",Kingston Town,Soul Pirate
22,spotify:track:4zn0kScuV9Oj28d4g9CQQs,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Jamming,Exodus (Deluxe Edition)
23,spotify:track:1ATZfYmZOcm24vl5oQtPdC,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']","Roots, Rock, Reggae",Rastaman Vibration
24,spotify:track:2rahWhhubhQMhG6coo7Vu9,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Kaya,Kaya
25,spotify:track:5JqCmd41S3PZ2AS6GuHqcR,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Pimper's Paradise,Uprising
26,spotify:track:48BdbT3VWXWzU4yKPILWps,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Could You Be Loved,Bob Marley (3CD)
27,spotify:track:2vy6wlsw73kL7eLz7nVo0u,Stephen Marley,0CIwCGmQMqHqiblnZlFia1,57,"['reggae', 'roots reggae']",Hey Baby,Mind Control
28,spotify:track:11ziwT3Hlfi4Eec0exgtVN,UB40,69MEO1AADKg1IZrq2XLzo5,65,"['reggae fusion', 'uk reggae']",C'est La Vie,Promises And Lies
29,spotify:track:5uBKhKWTJ4E47rcLQqu3YH,The Wailers,6uSKeCyQEhvPC2NODgiqFE,54,"['reggae', 'roots reggae', 'ska']",I Shot The Sheriff,Burnin' (Deluxe Edition)
30,spotify:track:5WRntsKbqmDrlF0ElhRFTl,Ziggy Marley & The Melody Makers,3Z2jmNAP2UaGa8lPpi54wD,39,"['reggae', 'roots reggae']",One Good Spliff,Spirit of Music
31,spotify:track:3Ui4BMHapr00Iul1kB7lHC,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",One Drop,Survival
32,spotify:track:3sqZDdEO5viqNqMCNem5m5,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Stir It Up,Catch A Fire
33,spotify:track:7578oiL9J6tFHXEjfCXFAS,Eek-A-Mouse,6xqlgBccdlxUh5DeJSx2ho,47,"['dub', 'reggae', 'roots reggae']",Wa-Do-Dem,Wa-Do-Dem
